ba_spread,mid_price
0.05,10310797
0.1,16757
0.15,8608
0.2,5675
0.25,4091
0.3,3015
0.35,2353
0.4,1893
0.45,1519
0.5,1348
0.55,1108
0.6,877
0.65,810
0.7,708
0.75,617
0.8,549
0.85,497
0.9,443
0.95,418
1.0,362
1.05,366
1.1,273
1.15,229
1.2,222
1.25,218
1.3,199
1.35,182
1.4,177
1.45,165
1.5,138
1.55,129
1.6,127
1.65,119
1.7,109
1.75,111
1.8,99
1.85,98
1.9,104
1.95,97
2.0,65
2.05,60
2.1,56
2.15,51
2.2,59
2.25,62
2.3,45
2.35,44
2.4,48
2.45,54
2.5,45
2.55,38
2.6,36
2.65,35
2.7,41
2.75,36
2.8,34
2.85,27
2.9,36
2.95,28
3.0,25
3.05,23
3.1,22
3.15,27
3.2,22
3.25,15
3.3,20
3.35,23
3.4,31
3.45,19
3.5,17
3.55,13
3.6,15
3.65,18
3.7,14
3.75,21
3.8,19
3.85,19
3.9,16
3.95,7
4.0,15
4.05,16
4.1,13
4.15,10
4.2,10
4.25,16
4.3,9
4.35,14
4.4,16
4.45,16
4.5,11
4.55,10
4.6,11
4.65,11
4.7,9
4.75,10
4.8,13
4.85,10
4.9,7
4.95,6
5.0,12
5.05,10
5.1,8
5.15,8
5.2,8
5.25,9
5.3,8
5.35,7
5.4,3
5.45,5
5.5,8
5.55,6
5.6,13
5.65,7
5.7,6
5.75,8
5.8,12
5.85,5
5.9,4
5.95,4
6.0,3
6.05,12
6.1,4
6.15,7
6.2,6
6.25,8
6.3,8
6.35,5
6.4,3
6.45,8
6.5,4
6.55,4
6.6,6
6.65,9
6.7,8
6.75,10
6.8,4
6.85,2
6.9,5
6.95,4
7.0,9
7.05,5
7.1,2
7.15,7
7.2,3
7.25,6
7.3,2
7.35,5
7.4,5
7.45,2
7.5,6
7.55,6
7.6,2
7.65,4
7.7,1
7.75,5
7.8,5
7.9,3
7.95,5
8.0,2
8.05,1
8.1,2
8.15,3
8.2,2
8.25,5
8.3,2
8.35,3
8.4,2
8.45,4
8.5,4
8.55,4
8.6,3
8.65,3
8.7,3
8.75,3
8.8,3
8.85,3
8.9,1
8.95,3
9.0,5
9.05,6
9.1,2
9.15,1
9.2,3
9.25,7
9.3,4
9.35,4
9.4,2
9.45,5
9.5,6
9.55,3
9.6,4
9.65,4
9.7,3
9.75,4
9.8,3
9.85,1
9.9,1
9.95,4
10.0,5
10.05,1
10.1,3
10.15,1
10.2,1
10.25,4
10.3,4
10.35,2
10.4,2
10.45,2
10.5,5
10.55,1
10.6,4
10.65,7
10.7,6
10.75,5
10.8,2
10.85,2
10.9,2
10.95,3
11.0,5
11.05,1
11.1,1
11.2,4
11.25,1
11.3,4
11.35,2
11.4,1
11.45,1
11.5,2
11.55,2
11.6,1
11.65,1
11.7,2
11.75,2
11.85,3
11.9,3
11.95,3
12.0,2
12.05,1
12.3,1
12.4,7
12.5,2
12.55,2
12.65,1
12.75,1
12.8,1
12.85,3
12.95,1
13.0,1
13.15,2
13.2,2
13.25,1
13.35,1
13.55,1
13.6,1
13.75,2
13.85,2
13.9,1
14.0,2
14.05,3
14.15,4
14.2,1
14.25,1
14.4,2
14.5,1
14.55,1
14.65,1
14.7,1
14.8,2
14.85,1
14.9,1
15.1,1
15.15,4
15.2,1
15.25,1
15.3,1
15.35,1
15.4,2
15.45,2
15.5,1
15.6,2
15.65,1
15.75,1
15.8,1
15.85,1
15.9,1
16.0,2
16.05,1
16.25,1
16.3,1
16.35,2
16.4,1
16.55,1
16.6,2
16.85,1
16.9,1
17.0,3
17.1,1
17.2,2
17.25,3
17.3,1
17.4,2
17.5,1
17.55,2
17.6,2
17.65,1
17.75,2
17.85,1
17.9,1
17.95,2
18.0,1
18.05,2
18.1,1
18.2,1
18.3,1
18.35,2
18.4,1
18.5,2
18.6,1
18.65,1
18.85,4
19.0,1
19.05,1
19.1,1
19.35,2
19.5,1
19.55,1
19.6,2
19.75,1
19.8,1
19.85,1
20.05,2
20.2,2
20.35,1
20.45,1
20.55,1
20.6,1
20.65,1
20.7,1
20.75,1
20.95,1
21.0,1
21.1,2
21.15,1
21.2,1
21.3,1
21.45,1
21.85,3
22.1,1
22.25,1
22.35,2
22.4,2
22.75,1
22.9,1
23.0,2
23.05,1
23.1,1
23.25,1
23.3,1
23.4,1
23.5,3
23.55,1
23.65,1
23.85,2
23.9,1
23.95,1
24.0,1
24.05,2
24.3,1
24.35,1
24.4,1
24.6,1
24.65,1
24.7,1
24.9,1
25.0,2
25.3,1
25.35,1
25.4,1
25.7,2
25.9,2
26.05,2
26.2,1
26.5,1
27.15,1
27.5,1
27.7,1
27.9,1
27.95,1
28.25,1
28.7,1
28.85,1
28.9,1
29.05,1
29.35,1
29.4,2
29.85,2
30.35,1
30.4,2
30.5,1
30.7,1
31.6,1
31.65,1
31.7,1
31.9,1
32.2,1
32.45,1
32.55,1
32.9,1
33.8,1
34.2,1
34.6,1
34.75,1
35.05,1
36.15,1
36.2,1
36.35,1
36.5,1
36.65,1
36.75,1
36.9,1
37.25,1
37.45,1
39.05,1
39.2,1
39.6,1
39.95,1
40.2,1
40.5,1
40.85,1
40.95,1
43.8,1
43.9,1
44.5,1
44.65,1
46.0,1
47.95,1
49.7,1
50.45,1
50.5,1
53.5,1
53.55,1
54.55,1
54.6,1
55.6,1
56.3,1
56.75,1
62.15,1
65.2,1
68.35,1
68.75,1
69.15,1
71.2,1
72.2,1
72.65,1
78.9,1
80.75,1
85.2,1
117.05,1
